Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
MIDLANDS,Mberengwa,Bonda Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Bonda Clinic,Bonda Clinic,yWRCzwtdVqp,ZW070625,ZW07,,Rural Council,Rural,Primary,Open
MANICALAND,Buhera,Birchenough - 100075 - Rural Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Birchenough,Birchenough - 100075 - Rural Hospital,ZW01010B,ZW01010B,ZW01,,Government,Rural,Secondary,Open
MATEBELELAND SOUTH,Bulilima,Bezu - 100066 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Bezu Clinic ,Bezu - 100066 - Clinic,KYBy3FfZcPu,ZW060234,ZW06,,Rural Council,Rural,,
MASHONALAND WEST,Zvimba,Bevking - 100065 - Private Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Bevking - 100065 - Private Clinic,Bevking - 100065 - Private Clinic,ZW040790,ZW040790,,,,Rural,,
MATEBELELAND SOUTH,Matobo,Beula - 100064 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Beula-seula Rural Health Centre,Beula - 100064 - Rural Health Centre,TBrKYpmE8ys,ZW060504,ZW06,,Government,Rural,,
MANICALAND,Buhera,Betera - 100063 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Betera,Betera - 100063 - Rural Health Centre,hcUbMLN50UW,ZW010102,ZW01,,Government,Rural,Primary,Open
MASVINGO,Chivi,Berejena - 100060 - Mission Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Berejena Mission Hospital,Berejena - 100060 - Mission Clinic,TKcNzGxZmGw,ZW08030C,ZW08,,Mission,Rural,Primary,Open
MASVINGO,Masvingo,Bere - 100059 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Bere Clinic,Bere - 100059 - Clinic,FUoqhbrAxqB,ZW080530,ZW08,,RDC,Rural,Primary,Open
MATEBELELAND NORTH,Tsholotsho,Bemba - 100057 - Council Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Tsholotsho,Bemba - 100057 - Council Clinic,Bemba - 100057 - Council Clinic,JisbeOfzAQc,ZW050699,ZW05,,Town/City Council,Rural,Primary,Open
HARARE,Harare,Southerton - 101619 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Southerton Clinic,Southerton - 101619 - Clinic,g8BfFOI44ii,ZW000A35,ZW00,,Town/City Council,Urban,Primary,
MASHONALAND CENTRAL,Mazowe,Belgone Clinic - 100054 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,BELGOWNIE,Belgone Clinic - 100054 - Clinic,WwnLkxvPhNZ,ZW020445,ZW02,,Council,Farming,Primary,Open
MASHONALAND WEST,Chegutu,Beersheba - 100051 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Chegutu,Beersheba  Clinic,Beersheba - 100051 - Clinic,HH3yCEiwd64,ZW040187,ZW04,,,Rural,,
MASHONALAND EAST,Seke,Beatrice - 100049 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Seke,Beatrice Rural Hospital,Beatrice - 100049 - Rural Hospital,v41G3HJvF4A,ZW03090A,ZW03,,Government,Rural,Hospital,Active
HARARE,Chitungwiza,St. Mary's - 101633 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Harare,St Mary's Clinic,St. Mary's - 101633 - Clinic,e4XyXFEL7Rj,ZW000B03,ZW00,,Town/City Council,Urban,Primary,Open
MATEBELELAND SOUTH,Matobo,Bazha - 100048 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Bazha Mission Clinic,Bazha - 100048 - Clinic,B5YF4fUJEVU,ZW060592,ZW06,,Mission,Rural,,
MASHONALAND CENTRAL,Mazowe,Bare - 100046 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,BARE,Bare - 100046 - Clinic,fqe4Y8QrsNH,ZW020425,ZW02,,Council,Rural,Primary,Open
MASHONALAND WEST,Zvimba,Banket - 100044 - District Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Banket District Hospital,Banket - 100044 - District Hospital,kyFYqZ69z50,ZW04070A,ZW04,,Government,Urban,Secondary,TOWN
MANICALAND,Buhera,Bangure - 100043 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Bangure,Bangure - 100043 - Clinic,fSJy9rjmBSB,ZW010125,ZW01,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Mangwe,Bango - 100042 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,Bango Rural Health Centre,Bango - 100042 - Clinic,vNLrnKgUtPc,ZW060709,ZW06,,Government,Rural,,
MASHONALAND CENTRAL,Mt Darwin,Bandimba - 100040 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,BANDIMBA,Bandimba - 100040 - Rural Health Centre,aUsp0RPHrgn,ZW020533,ZW02,,COUNCIL,Rural,Primary,Open
MATEBELELAND NORTH,Bubi,Balanda - 100037 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Balanda Clinic,Balanda - 100037 - Rural Health Centre,ED5aIDufB5W,ZW050227,ZW05,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Insiza,Avoca - 100029 - Rural Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Avoca Rural Hospital,Avoca - 100029 - Rural Hospital,qmtMQzRoH0H,ZW06040C,ZW06,,Government,Rural,,
MANICALAND,Makoni,Anorldine - 100012 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Arnoldine Mission Clinic,Anorldine - 100012 - Clinic,ZP6AUxsoZDz,ZW010492,ZW01,,Mission,Rural,Primary ,Open
MASHONALAND CENTRAL,Mazowe,Ardura - 100025 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,ARDURA,Ardura - 100025 - Rural Health Centre,MmC3bTl8MQA,ZW020408,ZW02,,Council,Farming,Primary,Open
MASHONALAND CENTRAL,Mbire,Angwa - 100010 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mbire,Angwa Clinic,Angwa - 100010 - Clinic,KiFPKW2LoT4,ZW020821,ZW02,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Insiza,Amazon Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Amazon Clinic,Amazon Clinic,WX4iuiyQmwV,ZW060430,ZW06,,Mission,Rural,,
MIDLANDS,Kwekwe,Amaveni - 100008 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Amaveni Clinic,Amaveni - 100008 - Clinic,IJFe4swzr4G,ZW070561,ZW07,,Town/City Council,Urban,Primary,
MASHONALAND WEST,Makonde,Alaska - 100005 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Alaska Munic Clinic,Alaska - 100005 - Clinic,gJr4bpmVlAZ,ZW040463,ZW04,,Town/City Council,Peri-Urban,Primary,Open
MIDLANDS,Kwekwe,Al Davies - 100004 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Al Davies Clinic,Al Davies - 100004 - Clinic,tnlz7dGBqL9,ZW070586,ZW07,,Town/City Council,Urban,Primary,
MASHONALAND EAST,Seke,Acton Ronolds - 100002 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Seke,Acton Reynolds Rural Health Centre,Acton Ronolds - 100002 - Rural Health Centre,UtIHziKXtX0,ZW030901,ZW03,,Government,Rural,clinic,Active
MANICALAND,Makoni,Chinyadza - 100239 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Chinyadza Clinic,,,98,,,,,,
MANICALAND,Makoni,Chiome - 100246 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Chiome - 100246 - Clinic,,,101,,,,,,
MANICALAND,Mutare,City Clinic - 100337 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,City Clinic,,,ZW010561,,,,,,
MANICALAND,Chipinge,Gaza - 100498 - Council Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Gaza - 100498 - Council Clinic,,,206,,,,,,
MANICALAND,Makoni,Mabvazuva - 0104102 - Council Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Mabvazuva - 0104102 - Council Clinic,,,334,,,,,,
MANICALAND,Makoni,Matotwe - 100960 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Matotwe - 100960 - Clinic,,,391,,,,,,
MANICALAND,Chipinge,Muswera - 101159 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Muswera - 101159 - Clinic,,,468,,,,,,
MANICALAND,Mutasa,Old Mutare - 101397 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,Old Mutare Mission Hospital,,,ZW01060C,ZW01,,,,,
MANICALAND,Mutare,Sakubva Health Centre - 101511 - Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Sakubva Health Centre Hospital,,,ZW010564,,,,,,
MANICALAND,Mutare,St. Welburgh - 101641 - Mission Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,St. Welburgh - 101641 - Mission Clinic,,,ZW010507,,,,,,
MASHONALAND CENTRAL,Mazowe,Dandamera Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,Dandamera Clinic,,,148,,,,,,
MASHONALAND EAST,Goromonzi,Domboshava - 100400 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Domboshava - 100400 - Clinic,,,165,,,,,,
MASHONALAND EAST,Goromonzi,Ruwa - 101494 - Poly Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Ruwa - 101494 - Poly Clinic,,,623,,,,,,
MASVINGO,Gutu,Mukaro - 101093 - Mission Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Mukaro - 101093 - Mission Clinic,,,ZW080493,ZW08,,,,,
MATEBELELAND NORTH,Umguza,Bhekeni  100067  Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Bhekeni Rural Health Centre,,,21,,,,,,
MATEBELELAND NORTH,Umguza,Bhumane Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Bhumane Clinic,,,22,,,,,,
MATEBELELAND NORTH,Bubi,Bona Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Bona Clinic,,,32,,,,,,
MATEBELELAND NORTH,Tsholotsho,Chefunye - 100152 - Council Clinic ,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Chefunye - 100152 - Council Clinic ,,,58,,,,,,
Bulawayo,Bulawayo,Cowdry Park Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Cowdry Park Health Centre,,,142,,,,,,
Bulawayo,Bulawayo,Emganwini Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Emganwini Clinic,,,ZW090A65,,,,,,
MATEBELELAND NORTH,Bubi,Famona Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Famona Clinic,,,184,,,,,,
MATEBELELAND NORTH,Lupane,Fatima - 100464 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Lupane,Fatima - 100464 - Clinic,,,187,,,,,,
MATEBELELAND NORTH,Umguza,Fingo - 100469 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Fingo - 100469 - Clinic,,,188,,,,,,
HARARE,Harare,Stoneridge,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,Stoneridge,,,694,,,,,,
MATEBELELAND SOUTH,Insiza,GSU Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,GSU Clinic,,,230,,,,,,
MIDLANDS,Gweru,Impala Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Impala Clinic,,,270,,,,,,
MATEBELELAND NORTH,Lupane,Kanyandavu - 100701 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Lupane,Kanyandavu - 100701 - Clinic,,,286,,,,,,
MATEBELELAND NORTH,Tsholotsho,Kapane - 100705  Clinic ,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Kapane Clinic ,,,289,,,,,,
HARARE,Harare,Sunningdale - 101657 - Satellite Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Sunningdale Clinic,Sunningdale - 101657 - Satellite Clinic,Vr63gV2X6vv,ZW000A37,ZW00,,Town/City Council,Urban,Primary,
MATEBELELAND NORTH,Bubi,Lukala - 100775 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Lukala - 100775 - Rural Health Centre,,,322,,,,,,
MIDLANDS,Gweru,Maboleni - 100793 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Maboleni - 100793 - Clinic,,,332,,,,,,
HARARE,Harare,Tafara - 101669 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Tafara FHS Clinic,Tafara - 101669 - Clinic,eScYy7KYs2U,ZW000A38,ZW00,,Town/City Council,Urban,Primary,
MATEBELELAND NORTH,Tsholotsho,Madlangombe  - 100809 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Madlangombe  - 100809 - Clinic,,,340,,,,,,
MATEBELELAND SOUTH,Matobo,Mbembeswana - 100991 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Mbembeswana - 100991 - Rural Health Centre,,,399,,,,,,
HARARE,Harare,Warren Park - 101760 - Poly clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Warren Park PolyClinic,Warren Park - 101760 - Poly clinic,sA086jVRd7Z,ZW000A39,ZW00,,Town/City Council,Urban,Primary,
MATEBELELAND NORTH,Nkayi,Mdengelele,PEPFAR,ZACH,ACTIVE,Health facility,Nkayi,Mdengelele,,,405,,,,,,
MIDLANDS,Kwekwe,Melisa Zhombe - 101009 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Melisa Zhombe - 101009 - Clinic,,,408,,,,,,
HARARE,Harare,Waterfalls - 101761 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Waterfalls Clinic,Waterfalls - 101761 - Clinic,YsapFO7P1Qn,ZW000A41,ZW00,,Town/City Council,Urban,Primary,
MATEBELELAND NORTH,Tsholotsho,Mlagisa - 101026 - Rural Health centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Mlagisa - 101026 - Rural Health centre,,,417,,,,,,
MATEBELELAND NORTH,Tsholotsho,Mtshayeli - 101074 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Mtshayeli - 101074 - Clinic,,,435,,,,,,
MASVINGO,Mwenezi,Mulelezi - 101104 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Mwenezi,Mulelezi - 101104 - Clinic,,,ZW080630,ZW08,,,,,
MANICALAND,Mutare,Vumba - 101748 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Vumba - 101748 - Clinic,,,ZW010515,,,,,,
MATEBELELAND NORTH,Tsholotsho,NGAMO CLINIC,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,NGAMO CLINIC,,,500,,,,,,
MASHONALAND WEST,Zvimba,Nyabika - 101307 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Nyabika - 101307 - Council Clinic,,,523,,,,,,
HARARE,Harare,Western Triangle Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,Western Triangle Clinic,Western Triangle Clinic,AvzEH5UhMeW,ZW000A42,ZW00,,Town/City Council,Urban,Primary,
MATEBELELAND NORTH,Bubi,Raafs - 101436 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Raafs - 101436 - Rural Health Centre,,,593,,,,,,
MATEBELELAND NORTH,Umguza,Redwood - 101447 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Redwood - 101447 - Clinic,,,599,,,,,,
MIDLANDS,Gweru,Riverdale Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Riverdale Clinic,,,604,,,,,,
MASVINGO,Masvingo,Runyararo - 101473 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Runyararo - 101473 - Clinic,,,612,,,,,,
MATEBELELAND SOUTH,Gwanda,Sengwezani - 101540 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,Sengwezani - 101540 - Rural Health Centre,,,642,,,,,,
MATEBELELAND NORTH,Tsholotsho,Shaba - 101546 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Shaba - 101546 - Council Clinic,,,643,,,,,,
MASHONALAND WEST,Chegutu,Shamrock - 101551 - Clinic ,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Shamrock - 101551 - Clinic ,,,646,,,,,,
HARARE,Harare,Wilkins Infectious Disease Hospital - 101775 - Infectious Disease Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,Wilkins Infectious Disease Hospital,Wilkins Infectious Disease Hospital - 101775 - Infectious Disease Hospital,HRaxyjNZcaJ,ZW000A0D,ZW00,,Town/City Council,Urban,,
HARARE,Chitungwiza,Zengeza Clinic - 100305 - Council Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Harare,Zengeza Clinic,Zengeza Clinic - 100305 - Council Clinic,dgPACqSJZIT,ZW000B04,ZW00,,Town/City Council,Urban,Primary,Open
Bulawayo,Bulawayo,United Bulawayo Hospital - 101723 - Central Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,United Bulawayo Hospital - 101723 - Central Hospital,,,724,,,,,,
MATEBELELAND NORTH,Nkayi,Vova - 101917 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Vova - 101917 - Clinic,,,729,,,,,,
MATEBELELAND SOUTH,Insiza,Wanezi - 101757 - Rural Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Wanezi - 101757 - Rural Hospital,,,735,,,,,,
MASHONALAND CENTRAL,Mazowe,ZPS Mazowe Prison Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,ZPS Mazowe Prison Clinic,,,771,,,,,,
MANICALAND,Chipinge,Chikore - 100191 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Chikore Mission Hospital,,,ZW01030B,,,,,,
MANICALAND,Chimanimani,Changazi - 100133 - Rural Health Centre,Non-PEPFAR,ZHI,ACTIVE,Health facility,Chimanimani,Changazi Rural Health Centre,,,ZW010319,,,,,,
MANICALAND,Chipinge,Gwenzi - 100570 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Gwenzi Clinic,,,ZW010390,,,,,,
MANICALAND,Makoni,Chinhenga - 100231 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Chinhenga Rural Health Centre,,,ZW010403,,,,,,
MANICALAND,Makoni,Chinyudze - 100245 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Chinyudze Rural Health Centre,,,ZW010406,,,,,,
MANICALAND,Makoni,Matsika - 100962 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Matsika Clinic,,,ZW010430,,,,,,
MANICALAND,Makoni,Mufusire - 101087 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Mufusire Clinic,,,ZW010439,,,,,,
MANICALAND,Makoni,Headlands - 100587 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Headlands Clinic,,,ZW010440,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
