Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
MATEBELELAND SOUTH,Gwanda,Gungwe - 100548 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,Gungwe RHC,Gungwe - 100548 - Rural Health Centre,KlVFxBUmMPa,ZW060301,ZW06,,Government,Rural,,
MIDLANDS,Gweru,Gunde - 100545 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Gunde Rural Health Centre,Gunde - 100545 - Clinic,VbSjaVx4t0f,ZW070401,ZW07,,Government,Rural,Primary,
MASVINGO,Zaka,Gumbo - 100541 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Gumbo,Gumbo - 100541 - Clinic,dVYZfmaQlZu,ZW080734,ZW08,,,Rural,,
MATEBELELAND SOUTH,Matobo,Gulati - 100540 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Gulati Rural Health Center,Gulati - 100540 - Rural Health Centre,kEC31WjP2wR,ZW060581,ZW06,,Government,Rural,,
MASHONALAND EAST,Murehwa,Goso - 100526 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Murewa,Goso Rural Health Centre,Goso - 100526 - Clinic,pBj3XPhHiO5,ZW030772,ZW03,,Mission,Rural,clinic,Active
MASHONALAND CENTRAL,Mbire,Gonono - 100519 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mbire,Gonono Clinic,Gonono - 100519 - Clinic,no6SbAPoA7s,ZW020831,ZW02,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Lupane,Gomoza - 100517 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Lupane,Gomoza Rural Health Centre,Gomoza - 100517 - Rural Health Centre,t9C5ajv1YF5,ZW050404,ZW05,,Government,Rural,Primary,Open
MIDLANDS,Kwekwe,Gomola - 100516 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Gomola,Gomola - 100516 - Clinic,yuQafsH22Bi,ZW070583,ZW07,,,Rural,,
MIDLANDS,Gokwe South,Gokwe - 100513 - District Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Gokwe South District Hospital,Gokwe - 100513 - District Hospital,OrydhbKFg8H,ZW07030A,ZW07,,Government,Rural,Secondary,
HARARE,Chitungwiza,Seke South - 101534 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Harare,Seke South Clinic,Seke South - 101534 - Clinic,cswicu2amtm,ZW000B01,ZW00,,Town/City Council,Urban,Primary,Open
MASHONALAND WEST,Mhondoro,Gavhunga - 100496 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Mhondoro,Gavhunga - 100496 - Clinic,Gavhunga - 100496 - Clinic,GKhq9nMgfU9,ZW040519,ZW04,,,Rural,,
MATEBELELAND SOUTH,Gwanda,Garanyemba - 100490 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,Garanyemba Clinic,Garanyemba - 100490 - Clinic,bB4csCSIDEn,ZW060331,ZW06,,Rural Council,Rural,,
MANICALAND,Buhera,Garamwera - 100489 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Buhera,Garamwera,Garamwera - 100489 - Clinic,g9SCxKLS1Rl,ZW010118,ZW01,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Makonde,Gamanya - 100484 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Makonde,Gamanya RDC clinic,Gamanya - 100484 - Clinic,HfeDBniK6Sa,ZW040485,ZW04,,,Rural,,
MIDLANDS,Mberengwa,Gaha - 100482 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Gaha Clinic,Gaha - 100482 - Clinic,dAuWnsrDRVU,ZW070676,ZW07,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Matobo,Fumugwe - 100479 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Fumugwe,Fumugwe - 100479 - Clinic,QBWN4VDaKc9,ZW060506,ZW06,,Town/City Council,Rural,,
MASHONALAND CENTRAL,Mazowe,Forrester - 100476 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,FORRESTER,Forrester - 100476 - Clinic,B0qok3j6tWR,ZW020485,ZW02,,Pvt,Farming,Primary,Open
MANICALAND,Mutare,Florida - 100472 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Florida Clinic,Florida - 100472 - Clinic,GmBfBIZu0RH,ZW010565,ZW01,,Town/City Council,Urban,Primary,Open
MASVINGO,Chiredzi,Faversham - 100465 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Faversham Clinic,Faversham - 100465 - Clinic,fHlFvOJjEZa,ZW080211,ZW08,,Government,Rural,Primary,Open
MASHONALAND WEST,Zvimba,Father O'Hea - 100463 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Zvimba,Father O'Hea Mission Hospital,Father O'Hea - 100463 - Mission Hospital,pw6aAMuYZOz,ZW04070E,ZW04,,Mission,Rural,Secondary,RURAL
MATEBELELAND NORTH,Nkayi,Fanison - 100461 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Fanison Rural Health Centre,Fanison - 100461 - Rural Health Centre,UhdvTazmVfs,ZW050525,ZW05,,,Rural,,
MIDLANDS,Kwekwe,Exchange - 100457 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Exchange Clinic,Exchange - 100457 - Clinic,NGyX8ov4BLC,ZW070526,ZW07,,Rural Council,Rural,Primary,
MATEBELELAND SOUTH,Umzingwane,Esigodini - 100456 - District Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Umzingwane,Esigodini District Hospital,Esigodini - 100456 - District Hospital,EJIkhGYlQVb,ZW06060A,ZW06,,Government,Rural,,
MATEBELELAND SOUTH,Umzingwane,Esibobvu - 100455 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Umzingwane,Esibomvu Clinic,Esibobvu - 100455 - Clinic,SjvPWQ5l2gT,ZW060625,ZW06,,Rural Council,Rural,,
HARARE,Epworth,Epworth - 100451 - Poly Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Seke,Epworth Polyclinic,Epworth - 100451 - Poly Clinic,Dr2dULfqvTS,ZW030926,ZW03,,Town/City Council,Urban,clinic,Active
HARARE,Epworth,Epworth - 100452 - Mission Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Seke,Epworth Mission Clinic,Epworth - 100452 - Mission Clinic,EC7WzIzlIiy,ZW030990,ZW03,,Mission,Urban,clinic,Active
Bulawayo,Bulawayo,Entumbane - 100449 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Entumbane Clinic,Entumbane - 100449 - Clinic,KIAW84qSifO,ZW090A04,ZW09,,Private,Urban,Primary,Open
MATEBELELAND SOUTH,Mangwe,Empandeni - 100445 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,Empandeni Mission Clinic,Empandeni - 100445 - Clinic,JOr33aW1Qul,ZW060792,ZW06,,Mission,Rural,,
MATEBELELAND SOUTH,Mangwe,Embakwe - 100444 - Mission Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,Embakwe Mission Hospital,Embakwe - 100444 - Mission Hospital,csZvGNTFp2K,ZW06070E,ZW06,,Mission,Rural,,
Bulawayo,Bulawayo,Emakhandeni - 100443 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Emakhandeni Clinic,Emakhandeni - 100443 - Clinic,cIHo19pHPnw,ZW090A01,ZW09,,Town/City Council,Urban,Primary,Open
MATEBELELAND SOUTH,Matobo,Ekukanyeni - 100439 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Ekukhanyeni Clinic,Ekukanyeni - 100439 - Clinic,RsSbNZR2lnR,ZW060505,ZW06,,Town/City Council,Rural,,
Bulawayo,Bulawayo,E.F. Watson - 100429 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,EF Watson Clinic,E.F. Watson - 100429 - Clinic,oZk9I1XeSu9,ZW090A03,ZW09,,Private,Urban,Primary,Open
MASHONALAND WEST,Zvimba,Dzivarasekwa Extension - 100428 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Dzivaresekwa gvt Clinic,Dzivarasekwa Extension - 100428 - Clinic,XwzKYKZooxk,ZW040780,ZW04,,Government,Urban,Primary,TOWN
MATEBELELAND SOUTH,Beitbridge,Dulibadzimu - 100423 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Dulibadzimu Clinic,Dulibadzimu - 100423 - Clinic,cLOvKUEH5RN,ZW060126,ZW06,,Town/City Council,Urban,,
MATEBELELAND SOUTH,Umzingwane,Dula Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Umzingwane,Dula Clinic,Dula Clinic,B9HL312kFTS,ZW060635,ZW06,,Rural Council,Rural,,
Bulawayo,Bulawayo,Dr. Shennan - 100418 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Dr Shennan Clinic,Dr. Shennan - 100418 - Clinic,gs4v5i69tux,ZW090A14,ZW09,,Town/City Council,Urban,Primary,Open
MASHONALAND CENTRAL,Mt Darwin,Dotito - 100416 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,DOTITO,Dotito - 100416 - Clinic,LcUXPpHZu3n,ZW020501,ZW02,,GOVERNMENT,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Doro - 100413 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Doro Clinic,Doro - 100413 - Clinic,hJfPQt6G26t,ZW040299,ZW04,,Rural Council,Rural,Primary,Open
MANICALAND,Mutare,Dora - 100411 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Dora Clinic,Dora - 100411 - Clinic,OdVIpeFRpxI,ZW010541,ZW01,,Rural Council,Rural,Primary,Open
MIDLANDS,Kwekwe,Donsa - 100410 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Donsa,Donsa - 100410 - Clinic,tFiCFVJ3KLP,ZW070502,ZW07,,,Rural,,
MIDLANDS,Kwekwe,Don Juan - 100404 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Donjuan Clinic,Don Juan - 100404 - Clinic,k4sThzc4zIy,ZW070525,ZW07,,Rural Council,Rural,Primary,
MASHONALAND CENTRAL,Mazowe,Donje - 100409 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,DONJE,Donje - 100409 - Clinic,x9pJIfSTTaY,ZW020406,ZW02,,Council,Farming,Primary,Open
MASHONALAND WEST,Mhondoro,Dondoshava - 100406 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Goromonzi,Dondoshava - 100406 - Clinic,Dondoshava - 100406 - Clinic,YSrqcKlCQUf,ZW030202,ZW03,,Government,Peri-Urban,clinic,Active
MASHONALAND WEST,Mhondoro,Donain - 100405 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mhondoro,Donain Rural Health Centre,Donain - 100405 - Rural Health Centre,yraPEOZeIxX,ZW040502,ZW04,,Government,Rural,Primary,Open
MASHONALAND EAST,Marondera,Dombotombo - 100401 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Dombotombo Council Clinic,Dombotombo - 100401 - Clinic,oKyc3dnc5sJ,ZW030561,ZW03,,Town/City Council,Rural,clinic,Active
MATEBELELAND SOUTH,Bulilima,Dombodema Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Dombodema Clinic,Dombodema Clinic,D79NwzzVJYp,ZW060225,ZW06,,Rural Council,Rural,,
MASHONALAND WEST,Makonde,Doma - 100397 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Doma RDC Clinic,Doma - 100397 - Clinic,QkRUl86fEkn,ZW040445,ZW04,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Tsholotsho,Dlamini - 100396 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Dlamini Clinic,Dlamini - 100396 - Council Clinic,CS6Fp5VYQVZ,ZW050626,ZW05,,Town/City Council,Rural,Primary,Open
MATEBELELAND SOUTH,Mangwe,Dingumuzi - 100394 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,Dingumuzi Clinic,Dingumuzi - 100394 - Clinic,YaLsThHfLT9,ZW060745,ZW06,,Rural Council,Urban,,
MASHONALAND EAST,UMP,Dindi Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Dindi Clinic,Dindi Clinic,H4QiZSaiFt1,ZW030391,ZW03,,Mission,Rural,clinic,Active
MASHONALAND EAST,Marondera,Dimbiti - 100390 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Dimbiti Rural Health Centre,Dimbiti - 100390 - Rural Health Centre,cxkXNo5Bctw,ZW030503,ZW03,,Rural Council,Rural,clinic,Active
MASVINGO,Gutu,Devure - 100387 - Mission Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Dewure Clinic,Devure - 100387 - Mission Clinic,VYPAMdNSEQf,ZW080427,ZW08,,Rural Council,Rural,Primary,Open
MASHONALAND EAST,UMP,Dewe - 100389 - Clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Dewe Council Clinic,Dewe - 100389 - Clinic,nSvEwzl9xRr,ZW030338,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND CENTRAL,Mazowe,Davaar - 100369 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,DAVAAR,Davaar - 100369 - Clinic,Yg65gRsms6Z,ZW020410,ZW02,,Council,Farming,Primary,Open
MASHONALAND CENTRAL,Mt Darwin,Mt. Darwin - 101058 - District Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,DARWIN HOSPITAL,Mt. Darwin - 101058 - District Hospital,HB7NldDkyx4,ZW02050A,ZW02,,GOVERNMENT,Urban,Secondary,Open
MASHONALAND WEST,Zvimba,Darwendale - 100368 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Darwendale Rural Hospital,Darwendale - 100368 - Rural Hospital,NfFDWgYghbO,ZW04070C,ZW04,,Government,Peri-Urban,Primary,RURAL
MANICALAND,Mutare,Dangamvura - 100366 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Dangamvura Clinic,Dangamvura - 100366 - Clinic,cr9XgOrqJwk,ZW010563,ZW01,,Town/City Council,Urban,Primary,Open
MATEBELELAND NORTH,Lupane,Dandanda - 100364 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Lupane,Dandanda Rural Health Centre,Dandanda - 100364 - Clinic,zVFAdwFdTqT,ZW050402,ZW05,,Government,Rural,Primary,Open
MIDLANDS,Kwekwe,Dambridge - 100362 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Dambridge Clinic,Dambridge - 100362 - Clinic,dMwOTm1TWlM,ZW070588,ZW07,,Rural Council,Rural,Primary,
MASHONALAND CENTRAL,Mazowe,Dambo - 100361 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,DAMBO,Dambo - 100361 - Clinic,XoF377WoLf2,ZW020484,ZW02,,Council,Rural,Primary,Open
MATEBELELAND NORTH,Nkayi,Dakamela - 100357 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Dakamela Rural Hospital,Dakamela - 100357 - Rural Hospital,t3OBvsoUoKO,ZW05050B,ZW05,,Government,Rural,Secondary,Open
MATEBELELAND SOUTH,Matobo,Cyrene - 100354 - Mission Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Cyrene Mission Clinic,Cyrene - 100354 - Mission Clinic,jxSgfvRa1kd,ZW060594,ZW06,,Mission,Rural,,
MASHONALAND WEST,Mhondoro,Cuba RDC Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mhondoro,Cuba RDC Clinic,Cuba RDC Clinic,ljDQKOHpFdV,ZW040580,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mazowe,Cranham - 100351 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,CRANHAM,Cranham - 100351 - Clinic,hqCNPGSdIvI,ZW020491,ZW02,,Council,Farming,Primary,Open
